No.;Time;Comment;Scramble
1;27.68;;L2 D L2 B2 R2 B2 U R2 B2 F2 L' U' L D R' U F U F2 L2
2;26.94;;D2 L B2 R U2 F2 L F2 L' F2 D' R' F2 L D' R2 F U' R' B'
3;35.11;;D' R2 B2 L' F2 D2 U2 L' B2 L2 D2 R2 D' F D L D R F' L B2
4;30.79;;R D U' L2 B2 D' B2 F2 D L2 R2 F L2 U R' U' B2 L B' U2
5;27.71;;L' B2 R2 D2 B2 R2 U F2 D' R2 F2 U2 R' B' D L' D F' L R'
6;26.19;;F' L2 B2 U2 F D2 R2 F R2 F' U' L' D2 R' B' D2 B2 D' U' L2
7;31.72;;U' L2 B2 U F2 U' L2 U' B2 F2 U2 L F D' F' L2 D2 R U2 B U'
8;40.98;;D2 U' R2 F2 D' F2 D' F2 R2 F2 D2 F R F2 L' B' U F' D' F' D2
9;33.42;;R' D2 F2 U2 B2 F2 L2 U L2 U B2 F U F2 L R B2 U' R D2
