No.;Time;Comment;Scramble
1;30.25;;U2 R2 B' D2 B' U2 B' L2 D2 B2 L2 D' L' D L2 R' B' U2 F D2
2;34.33;;B2 U2 D2 F' L' F2 U D R B D2 L2 F2 D2 F U2 R2 D2 B
3;34.00;;F' U2 F2 D2 F2 R F B' U2 R' U' B2 D2 F2 U R2 U' D2 L2 U2
4;35.14;;R2 D2 L2 B2 D L2 D B2 L' D' B2 D F' R' B' D2 B2 R
5;40.16;;D2 L2 U2 B F2 U2 R2 F' R2 L B2 F2 R' U' L' D F L2 U2
6;41.39;;L' F2 L' U2 B2 L' B2 L' D2 F2 D F2 L' B2 R F D U2 R F'
7;29.76;;U B2 U L2 D2 R2 B2 L F2 L' F L' R B L D L2
8;37.83;;B2 D2 U2 R' D2 B2 L R B2 R F2 B' L B D F R2 B' F' L2
9;34.49;;L' B' D' L' B2 U' L F' U' B' L2 U2 R2 U' B2 D' F2 R2 D' L2
10;32.58;;B2 R L2 F' B R B2 U' R' U2 R2 L2 B2 L2 U B2 U F2 U2 B2
11;33.71;;D' F2 D L2 R2 B2 U R2 U' B2 F2 L' F2 D' R F' U B' D' U' R2
12;28.05;;U' F2 D F2 B' R2 U' B' U F2 R F2 U2 L2 D2 B2 R' D2 B2 R'
13;32.97;;U B2 D' B2 U B2 U' L2 U L' U L R2 F L D U2 L2 B2
14;32.97;;D' B2 F2 L2 D F2 U' L2 U' B2 D2 F' L D L' D2 R U2 R D'
15;28.12;;B L2 U R D' R L U R U' L2 F U2 F' L2 B2 R2 U2 B'
16;36.06;;U2 L2 U' R2 B2 F2 U F2 L2 R2 D2 L' B L R' U' F U' B L2
17;31.09;;F U' B2 U L2 D' R2 U R2 U R D2 B2 L F' R' F R B'
18;29.81;;U L2 D R2 U B2 F2 R2 D L' F2 L B R' D' L R' F' D' U2
19;53.40;;R2 B' F2 R2 U2 B2 D2 F U2 L D2 R B U F D2 R2 U R
20;31.26;;B U2 B2 L2 U2 L U2 R2 D2 F2 R' U L' B' D L' F R' D L2
21;46.08;;F2 R' B2 L R' F2 R' D2 R' F2 D R2 D2 F R B' L F' R2 B'
22;39.24;;F R2 D2 B2 R2 D R2 D U2 B2 D R2 L' B2 U B L R2 U2 R'
23;40.27;;B2 F2 D' B2 R2 U F2 U2 R2 D' F U L B2 D' R D2 U' L' R2
24;31.07;;R2 U' L2 D2 R2 D' B2 R2 B2 D2 F' R D' U R2 B D' U' L2 U'
25;21.78;;B2 L2 D2 F R2 D2 R2 B' U2 R2 D' R F L' D' U2 B F R
26;29.58;;L' B2 U2 R2 F2 R' U2 B2 U2 F2 R2 B' L F D' L U L2 R F2
27;32.62;;R2 U2 B2 L2 D2 L U2 L' U2 B2 R2 F' R D2 B2 F2 R' D' L2 B' U
28;31.99;;B2 U F D2 R2 F' D2 L2 U L' U L2 U2 B2 U L2 B2 U' F2 U'
29;33.28;;R2 B2 U B2 U L2 B2 U' L2 D' L' D B' U B2 R2 F' L' U R'
30;35.49;;R' F' R2 D2 F' L2 U2 L2 B F U2 R' D' L' U R F2 D' F' U'
31;30.88;;D' L2 B2 R2 D' B2 U2 R2 B2 U2 F D L2 U' R' B2 U B' R' F2
32;33.82;;D2 F2 D' F2 B' R F D F2 L2 F U2 F' R2 L2 U2 L2 U2 D
33;20.73;;U' L2 U L2 F2 U L2 U F2 U' B2 L D U' R2 B' F' D' U2 L U
