No.;Time;Comment;Scramble
1;24.05;;R B2 U2 R' D2 F2 R F2 R' D2 R2 D F' R2 D2 B' D2 L B L'
2;27.96;;U2 B2 U' B2 D' B2 F2 U' F2 R2 U' R F2 D U L' U' B' D2 L2 R
3;20.20;;D L' B U' D2 R F B2 D U2 F2 B2 L2 F R2 D2 B
4;23.34;;F D2 F D2 F2 D2 U2 B' D2 F R' B' F R2 F' R' D L' R F'
5;26.87;;L B2 D2 B2 U2 F2 L' R' U2 R' F L2 U2 F U' R2 D F L2 R'
6;27.49;;R2 F U2 F D2 B2 R2 B F2 D2 R2 L F D' B L U2 F' D2 U2 R2
7;26.73;;F2 R2 D2 R2 U' F2 U R2 U' R2 F2 R' B' F2 D B U' R F L'
8;28.12;;B2 U' R2 F2 U F2 U2 F2 L2 R' B' F2 D2 B L U' R' D2 U'
9;21.48;;U L F' B R U R U F' R F2 U2 D' F2 U' R2 U F2 D
10;30.20;;R2 B' D' R2 F U2 R2 U' L U B2 U R2 D' R2 D' L2 U' B2 U2
11;35.82;;F2 L2 F U2 F2 D2 B U2 D L U2 R2 U' R' D F' U2 B2
12;35.51;;B' R L' D' R D' B U F' R2 U2 L2 D2 F2 U B2 D F2 B2 R'
13;30.64;;R' D R2 D2 B U2 B D R' F2 R2 B2 R' D2 L' B2 L F2 R
14;22.71;;L2 B2 R2 B2 F' U2 B' L2 B' U2 L' F' D B L F R2 U' B2 L U2
15;31.21;;L2 U F2 L2 D B2 R2 D U' R2 L' D' B' F' D L' R B' L F
16;29.65;;D2 R2 B' U2 B2 R2 B' L2 D2 U B' R B F2 D' B U2 L2
