No.;Time;Comment;Scramble
1;1:07.51;;Rw' B' Fw' R D' L2 Uw2 L Fw2 U2 D Rw U B F L2 B' F2 L' B L' B2 Rw' D Fw F2 Uw' R Rw' F Fw D' Uw2 F2 Fw' D Rw F Rw U
2;1:16.92;;B Fw2 F Rw2 D' F' D' Fw' Uw' D F2 D2 L2 Fw L2 F' Uw2 U2 R2 F Fw' Uw2 F' L' U' Fw2 U' Rw2 B2 Uw' F2 B R U L R' U2 Rw2 U' Uw
3;56.79;;D' L2 Fw L R2 B Uw2 B2 Uw2 R2 U D' Fw' F2 B2 U' Fw2 Rw' F D' R2 L2 Uw' F' U2 B' L' Rw2 B Uw' L2 D2 R' U F2 L' U' R' U2 Rw2
4;1:18.38;;U Fw' Rw' F' L' Fw F D2 F U2 Uw2 B2 Rw' Fw' U L B' Rw' D2 Fw B' R2 Uw Fw Rw2 B' D L Rw R2 B Fw' Uw2 L2 Fw Uw F' Fw Rw Uw
5;1:04.88;;F' D' F2 L B' U' R L2 F2 U B2 Uw2 Fw D' R' Fw' B2 Uw Fw' R Fw2 Rw2 Fw F L' U' D F' U' Fw L' Uw F Fw U2 F R2 L Rw' F
6;1:13.99;;Uw L' F U2 F' Fw L' Fw' L2 Fw' U' R2 Uw D' Rw2 Uw D B2 R L B L' F' R2 U2 Fw2 Rw' L R2 B' L' U' Rw U L' Fw' L2 Fw' Rw' F
7;1:07.47;;U D' Fw2 Rw F L' R' Fw2 Uw Fw B' Uw R2 L2 Uw' L Uw' U' B' D' Uw Rw Fw B2 Rw2 L2 B U2 Uw2 Fw Uw2 U' F' Uw2 Fw L' Fw2 U2 Uw' F2
8;1:10.57;;Uw2 U D2 F2 Fw' Rw' R' L2 U' B' R' L2 U2 L' Fw2 F' D' U L2 Rw B' Uw' D' Rw D F' D Rw2 B2 F Rw2 R F L D R' L' D2 F Fw2
9;1:13.58;;B' R2 Fw' B Rw2 L R2 D Rw2 B' U' F R2 Fw' B2 D' R F2 Fw2 L D U' L' R2 Rw' Uw' F2 U2 F2 D L2 U B2 Rw2 R' B' R U2 B Uw'
10;1:08.75;;Fw2 B' F' R' F Rw' R2 D Uw2 F L D L' B' F R2 D L2 R' Uw F2 U' B D B' Uw2 B R' D2 Rw' D Uw' Rw L' D2 Fw' Uw' L2 Fw Uw'
11;1:13.80;;R F2 Rw L F2 Rw2 F R2 Uw2 R' L B2 D2 B F R2 B2 Uw' R' Rw' D2 F2 L Rw' U' D' R' Rw' F2 U2 R2 B L' R' U D2 Fw Uw B' D2
12;1:05.49;;U2 Uw' D' Fw L2 B' U2 D' Fw D2 Rw Uw2 B L2 B2 U' D2 Fw2 Uw B' Rw' B' F' Fw2 Uw2 F2 Uw' B2 Fw D' U' Rw2 U2 Rw2 R U Rw' R L B2
13;1:12.12;;Uw' Fw' B2 F' Rw' Uw2 Rw' L' B U' B2 U2 Rw R' D' L' B' F2 L' U Uw' F Uw2 D F' L' B Rw2 Fw2 D' Uw' Rw Fw' Uw2 U2 Fw2 Uw' R Uw' Rw2
