No.;Time;Comment;Scramble
1;51.11;;F2 B' Fw2 D B Rw L' D' Fw F L' F R2 Uw Fw' B2 Rw2 B' Fw2 R' D' U' F' Rw' R' D2 B' U' F B2 Rw' Fw L2 Uw B R' B2 F2 Rw2 F'
2;58.07;;L B' Uw Fw' Uw L' B Uw2 D Rw2 B2 D2 B' F U' Fw' Uw2 Fw D U2 F U2 L Rw2 U2 Fw D' L' D L2 F B2 Uw' D U Rw Fw Rw Fw' U'
3;1:34.57;;F L Rw Uw' L2 Uw2 U2 Rw' D Uw' Fw2 D2 L' Fw R2 B2 U D R' Uw R' L' U B2 D' Rw Fw2 Rw' U' Rw L U F L D L Fw' R F2 Uw'
4;1:10.12;;Fw2 L Uw Fw2 U2 D' R B' F2 D2 L2 D Fw' L' Uw' D' R2 L' U2 D' B Uw2 L F' R Uw' F D' Rw2 D2 R Uw2 F' R' Fw Uw' F' U' D' Rw
5;1:09.06;;D U R' F Fw' L2 D B2 F' Rw2 F2 Rw' Uw' Rw2 Uw2 L2 F2 R2 L2 F' D F Uw Rw Uw' Fw D2 L' F2 R2 U' D2 B U' D L' D L' R2 Fw2
6;1:02.14;;Fw' Rw' U' R' Fw2 D2 Fw' U2 D Rw Uw2 B2 U' F L Fw2 D2 L' R' Uw' U2 B' Fw2 Rw2 D Rw' D' Rw D2 Uw L2 Fw2 F Rw Fw2 B R' F2 Fw' Uw2
7;1:05.54;;F B2 D' Fw' L' Uw B' F2 Uw Rw Fw2 Rw2 R2 Fw2 R Fw' U' L2 F2 D' Uw L' Fw R2 Uw2 U2 F R Rw2 U' L' U' F2 L' Rw D L D' R U2
