No.;Time;Comment;Scramble
1;1:25.30;;L' R B2 Uw' R' D' F L' F2 D Uw2 Rw' R2 Fw F2 B R D2 R2 Uw D2 F2 Uw2 Fw Uw U R Fw Rw' Uw' Rw' Fw' Rw' Uw U' R2 D F U Rw
2;1:22.14;;Fw' U Uw L' F2 Rw B2 Uw R2 U' D R' U B2 Fw R' Uw Rw' Fw2 B F' L2 Rw U2 Rw2 F Uw' Fw' R' Fw R F L D2 Fw' F2 B' Uw2 F Fw
3;1:11.04;;B2 F' U' L' B2 D Fw B Uw U D2 Fw2 U2 Rw B' Uw2 U L' Fw' F' D' Fw' D' F' Fw2 R2 U' R2 B2 D2 Uw L' D L' U' D' L' D Uw B
4;1:14.87;;Rw L' Uw2 L' R Fw B' F Rw2 B' U2 Fw B2 L' Fw2 B' Uw' Fw' U' L D2 B' Uw R2 F2 B2 R2 Fw' U2 Fw2 U2 Uw R2 Uw F Rw2 Fw' B' Rw' R'
5;1:07.84;;Fw F D2 Fw R2 F' Rw' R2 B2 L' U L D' Uw' F R2 U2 D' L2 U' F' D Rw R2 Uw2 R F L2 Rw R2 D' Rw B2 Rw R2 D2 F2 U' F B2
6;1:20.60;;D Rw Uw D' L B' U Fw' F2 U2 B2 D' R Fw2 Uw2 B U2 L' D2 Rw2 F2 Rw2 R U' B' D' B Uw' U2 L2 F2 L2 D' B' F' D' F Uw' Fw2 Uw'
7;1:17.67;;B2 R2 Uw U B Uw2 D' R' Uw' U Fw2 Uw D' F' B L B2 Rw2 U2 R2 B2 L B Rw2 U R' B2 D' Rw' L' B' Rw2 U D R U' Fw2 L Uw2 U'
8;1:16.51;;L Fw' Uw L' Rw' D2 Rw' U R' U2 L' F' B2 D B2 L Fw2 Uw' F D' B' Fw2 Rw' B' U2 L D' Uw' U2 L B2 Fw' R2 U' F L' Fw L' B Fw
9;1:10.19;;R2 Uw D' L' F' Rw' R' Uw R Uw L' Fw2 D' Rw' Fw' R2 Fw F' R2 Fw' F R L' B L B' Uw B' Fw L' U Rw F2 B2 D2 F2 Rw D' U' L
10;1:06.75;;Uw2 R2 B F' Rw' B R2 Fw2 B F U2 L Rw2 R' D2 Rw U2 L U Uw Rw' Fw L' Rw' Fw' Rw' D2 R2 Fw' R Rw' U' D B F Uw R' B' L F2
11;1:32.42;;R L' F2 D2 Uw F' Rw2 B R Fw R Fw' B2 D2 F U D2 F2 D2 R2 D L2 R2 Uw B' F' R2 Fw' D2 Uw' U F D2 U' F U' R Fw2 D2 Fw'
12;1:23.81;;F' Uw' Fw2 R' L' Fw2 L F' Uw2 R' L2 B' F R2 D Uw2 Fw R2 B L' Rw' Fw2 U' Uw' B2 D Uw2 R' F2 Rw' F B L2 R' D' B2 Uw D B' R2
13;1:22.22;;D B Uw2 Fw' Uw D' Rw D' Uw2 L' F2 R' U' Rw' L F D' Fw R2 B' Fw Rw L B' Uw2 B' F Rw R2 F' Rw' U' Rw Uw2 B2 Rw U Uw' Fw2 R2
14;1:15.69;;D R Fw' R Fw U L' Fw' L2 F U2 F2 Rw2 U2 F' L F2 Uw' B' Uw2 Fw2 Uw2 B Uw L Fw' U Uw D L' B L' D' Fw2 D2 F' B2 Fw' R Uw'
15;1:23.44;;B2 L Fw R U' D' B R' Uw' F2 B Rw' F2 U Fw' U R' D R' L D' Fw D2 Fw2 D2 F2 L2 Uw' L D' B2 R' U L' D R' Fw' B D U
16;1:18.84;;Uw' R' D' L2 D2 B' Uw2 D2 U' Fw' R2 Uw F2 Fw' D' L2 U' R' B2 Uw' Rw L' U' R' D B' U' D2 L F2 Uw2 B' Uw' Rw F' Rw L B R2 F
17;1:16.41;;B2 Fw D' F Rw2 Fw Rw Uw2 L F Fw' L Uw2 U B2 Rw2 R D' Fw2 R B2 R' Uw Rw' D2 U L2 D' R' B2 Fw2 U' F Uw Fw' Rw Fw' B Rw2 R'
18;1:11.70;;F2 D2 Uw2 U2 L F2 Rw2 B F' Rw2 F' L R F' Uw F L2 U2 Uw' Fw2 F Uw' U2 R F' D' Rw Uw' U B L' F D L D2 R Rw U' R' Uw
19;1:17.89;;Rw R' B Fw2 L' D B2 L' R' D2 Rw' Uw R2 D2 U' Rw F2 U Rw' B Rw B Rw R' Fw L' R B Uw' D' R2 F' D Fw2 F2 R' D' L2 Uw' D
20;1:20.72;;Rw' U' D2 R' F' R Fw' Rw Fw2 R B Fw' R' D2 F R' L Fw2 L2 F L U2 R B' L' B U' D R L' F2 Rw' B Fw' L' Uw Fw' B2 D F
