No.;Time;Comment;Scramble
1;14.75;;U' B2 U2 L' D2 F2 L F2 L' F2 L B2 D' F' R2 F2 U2 F' L2 F L'
2;17.84;;U2 B' R2 U2 B D2 U2 F2 R2 D2 F' L' B D' U' L D2 R2 B D2 B
3;14.62;;U' B2 U2 R2 U' L2 D F2 U2 L2 F2 R F2 D' F R' U' B D2 R U
4;20.89;;D' U' L2 R2 F2 D F2 D B2 U2 F2 L U2 R' D U R B2 F' D' L
5;16.15;;B2 U2 L B2 U2 L R2 F2 R2 F' D R U B' L D' U2 F2 D
6;18.71;;U2 L2 D2 F' U2 B U2 F' R2 F' D2 R' U F' U2 F2 D2 U F' L U
7;14.61;;U D2 B2 L' R F2 L2 R D2 F2 B L2 U' R2 D2 B F2 L
8;16.92;;F L' F L U2 B2 L' U B' U R2 B2 D2 R2 D' B2 L2 U' F2 R2
9;9.76;;F2 L B2 L' U2 L U2 R2 B2 U2 F2 B L2 F2 D' B' R' F' D2 F'
10;16.94;;R F2 R2 B2 F2 U' F2 L2 F2 R2 D2 U' R' F' L U F L' D2 U2 L'
11;14.11;;R' D2 R' F2 L B2 F2 L R2 D' B' U L' U' R' B2 L2 F L
12;16.83;;L' B R D2 R' U R B' R2 D2 R U2 R' F2 R' D2 L2 B2 L D
13;20.07;;D' F2 U2 F2 R2 D L2 D' U L2 R2 F' R' F2 D2 B F2 R U L R'
14;17.18;;L2 F D R L B L' D L2 D B' D2 F U2 L2 U2 R2 L2 F2 D2 B2
15;17.37;;L D' L2 D' B2 D2 B2 R2 D2 L2 U L' U2 R' D' R2 B F2 L' U'
16;14.22;;F U2 R B' U R' B' R2 F U2 F2 U2 B2 U' L2 U R2 B2 D'
17;15.59;;R2 B2 L2 U' B2 R' D B' F2 U2 R U2 B2 L F2 R' B2 U2 R' U'
18;13.85;;B L2 D2 R2 D2 B' D2 L2 R2 B' U2 L R' B' D' B2 L F2 L F' U2
19;13.81;;B D' F2 L' D' F2 D' F' R' B D2 R2 D2 F2 D2 B' U2 L2 B' D2
20;18.67;;L2 F B' D R B' U L' B' R U2 R B2 R' B2 R F2 L' D2 F2
21;13.73;;D B2 L D2 L2 B2 F2 L U2 L D2 U' L D B2 F U' L2 B'
22;16.67;;B' R' L D' B2 R B R' D U2 R2 L2 B' D2 B R2 B2 D2 B' D2
23;16.52;;U L2 D' F2 R2 F2 D U2 R2 B2 D2 L D' L' U2 B' L D' U2 L' F
24;16.69;;R' F2 D2 L' F U D2 R D U2 R L' U2 L D2 B2 U2 L2
