No.;Time;Comment;Scramble
1;12.87;;L2 F2 D' B2 D2 F2 L2 F2 D R2 D F D U F R U2 L2 D' B' D2
2;14.57;;D B2 F2 L2 D2 U B2 L2 U' R2 L' D B R2 D2 U2 F R F2 L
3;17.89;;U2 F2 U L2 F2 D' L2 D R2 B2 F2 L' U L2 D' L' U F L' U2 F'
4;13.94;;B2 U2 D2 L U' D F2 R' B U L2 U' L2 B2 D2 R2 U B2 D L2
5;15.94;;F' R2 D' L2 D L2 F2 U R2 F2 R2 F2 R' U B2 F D' B' U2 F'
6;16.46;;U2 B2 R2 U B2 F2 D' B2 U2 B' L2 R D2 L R B' U' L
7;12.75;;L' B2 R' D F2 D' F U' R2 B U2 F D2 B' D2 F R2 B R2
8;17.42;;L2 B2 R2 U2 R2 F R2 B2 R2 F' R2 U' B2 D R2 F L' R' F' L' B2
9;15.13;;D F U2 B' R2 B' L2 U2 B' D2 L2 F2 R' U B' R U2 B' U F' R2
10;17.52;;R2 D2 L2 F2 L2 B' D2 F' L2 D2 R' D U' B' L' U' R2 U2 L' B
11;16.45;;F U L2 D' B2 D L2 D L2 U' F2 D B D B L2 R B2 L
12;13.42;;U' B2 R B2 D2 R' U2 R' B2 L2 B2 U2 F' D R2 F2 R' B' F' R2 D'
13;15.02;;F2 D2 L' F2 D2 R B2 D2 R2 D2 L2 D' L2 R B' U' B2 L' F R U'
14;16.15;;L2 B2 R' U2 B2 L' B2 R' D2 R F L' D' R' U B L' F L' R'
15;16.09;;F2 U L2 U' F2 L2 U L2 F2 R2 F2 R U' B R' U R' D2 U' B F'
16;19.28;;R B2 L2 U2 B U2 B2 L2 R2 U R2 U R' D U2 L2 R' D
17;14.62;;U2 F2 R2 U2 L2 D B2 R2 U R2 F2 R U F' R2 F2 U' L B2 D2 L2
18;15.32;;L2 D' F2 D' L2 U2 L2 D' B2 D2 L2 R B D L' F2 D2 U F L B
19;16.29;;U2 B' R U' L B' U2 B U L2 B2 U2 L2 D R2 F2 D B2 U2 L
20;14.34;;U' R2 F2 D' B2 D2 F2 D' F2 R2 U2 B' R2 B' U R B' L U R' B2
21;14.06;;D' B2 U2 F2 U2 R2 D2 R B2 L' D2 R' U R' D U2 F R2 U' L2 D
22;15.13;;F2 D2 B D2 F' R2 B' R2 F' D2 L F U R2 F' R2 D U R2
23;16.75;;U' D2 F R2 D2 B' D2 U2 L2 B' D2 B2 U' B' R' U2 B R2 F2 R2
24;13.37;;R' B2 D' R2 F2 D2 B R' D' R2 F2 D' F2 U L2 U D L2 F2 R
25;14.96;;B2 U R' D2 L' D F U B D' F2 B2 L2 D' F2 U2 D' R2 F2 R2
26;13.64;;D2 R2 D2 B2 U F2 D' B2 L2 U R B' F L' F2 L2 U2 B2 U F
27;14.52;;U2 F U B L F' R2 L B2 L2 D B2 D' B2 D F2 B2 L2 D'
28;15.08;;F' R2 B D2 B2 L2 R2 B' D2 F' D L' U' F' U' R' F2 L2 U B'
29;13.91;;B2 L2 F2 L2 D' B2 D' B2 D' F' D L' B2 F2 L B' R D2 U2
30;13.59;;D' R2 F2 R2 B2 F2 D' L2 U' R2 B R' B R2 U L' D B2 U F'
31;11.79;;R F2 U' B2 R2 B2 R2 U' F2 U L2 D' R' F' D U L' R U2 L U
32;16.93;;L2 B2 R2 B2 U2 L2 R2 F' R2 F' L D' B R F L' B2 L' D2 R2
33;16.52;;F U2 F' L2 F D2 L2 B L2 F' R' D' L B R B' L2 D' R2 F
34;15.15;;L B D2 B' L U' B2 U F2 R D2 R' D2 R2 U2 B2 R' B2 R
35;12.86;;D2 L' F2 L F2 R U2 B2 D2 U L2 B' D F' L D2 L U R2
36;14.42;;D2 F2 D B2 F2 R2 D' L2 B2 D B2 L U2 L F' D B L' D' R' F
37;11.32;;F2 R2 U' D2 R2 U2 B U2 D B2 L2 U2 B2 L2 D F2 U' L2 R
38;14.50;;B' R D2 U2 L2 B2 U2 B2 R' D2 B2 L B R' D L2 B' U R2 D R2
39;15.02;;F2 U F2 D' L D2 F' R' L B U D2 F2 B2 R2 B2 U F2 D' F2 U
40;21.18;;F R2 D2 R2 D2 B' R2 D2 B' U2 B' L D L R2 U L R U' F2 D
41;14.67;;L B2 R' U2 R B2 R2 U2 R F2 D2 F' L F2 L2 F' R2 D' L R
42;16.71;;B U2 F' R2 U2 B U2 B2 L2 D L' B' L' D' U2 R' D U' L'
43;15.78;;U L2 F2 R2 U2 B2 U F2 L2 U R' U' L2 B2 F2 R B R B
44;12.86;;D' B R2 D2 B U2 R2 B R2 D2 R2 B U' R2 D L U R2 B' R' D2
45;15.66;;R L2 F2 R2 U' F2 B' D' L D2 B2 U2 F D2 L2 F' L2 B L2 F2
46;15.27;;R2 U2 B2 L B2 R B2 L2 B2 D2 L D B F R' B2 R2 D' F' D' U'
47;16.62;;R' D L B2 D' B2 D' F' U' R2 D B2 D2 L2 D' F2 B2 U2 F2
48;15.03;;B D' F D2 L U' D R F2 U D2 F R2 U2 F D2 B L2 F' R2 B
49;12.50;;B2 R2 U2 F' R2 F' U2 B2 F' L2 U' L' D' U' R F L2 D B D
50;15.38;;U B2 D R2 D L2 R2 B2 L2 D2 R2 F R B' R2 F2 U B2 U R2 U
51;13.83;;F' L' D' B2 D B2 R' D' F L2 D2 F D2 R2 F' U2 F' L2 B2 R'
52;17.77;;R' F U2 B2 F L2 F2 L2 R2 F' R B' L F R B' D L F
53;13.85;;B' D2 U2 L2 F' L2 B R2 D2 L2 B U' R D' U L2 F2 R' B D' L2
54;17.43;;B2 F2 D' L2 D2 B2 U' L2 R2 D2 B' U2 F U2 F' D2 F R' B
55;14.34;;R D2 R D' L B' R2 B R L U2 R' F2 U2 L' B2 L2 B2 F'
56;33.43;;L' U F L U' L2 F' R U2 R2 F2 B2 U R2 D2 L2 U L2 D'
57;14.39;;D' F2 R2 D L2 U B2 L2 U2 L2 D' L D2 R D' F2 D' B D' B2 L'
58;13.30;;F2 R' B2 U' L D B U R U B2 L2 U' L2 F2 R2 D2 L2 D2 B
59;18.08;;R2 D L2 D R2 D' L2 U2 B2 U F2 R B' F' R2 D F2 R2 B2 R' B
60;12.52;;D2 L2 U F2 D' L2 F2 U2 F2 U' R' D2 B2 U' B F R' D F2 L2 D2
61;15.99;;B' L' R' U2 L2 B2 R' U2 B2 L' D2 F' R2 D2 U R2 B' D U'
62;14.41;;B' L2 U L2 D' F2 D' B2 U2 B2 R2 U2 F D' L D' F' R D B2 R'
63;13.40;;L D' B2 U L2 B2 R B U' R2 B2 D2 B2 R' D2 B2 L U2 R
64;17.77;;D R2 B2 U F2 L2 U R2 U L2 B' L' F2 U' F R D2 R2 B U F2
65;15.07;;U' B2 D' F2 R2 F2 D' B2 U2 F2 R2 F L2 U R D2 R D F D'
66;14.55;;B2 R2 U R2 D2 F2 U' B2 D' R B' R2 B' U2 L B2 F2 D' L2
67;13.91;;D' L2 D U2 L2 D' L2 F2 U' R2 F2 R D' L' D R' D2 F L F' U'
68;14.42;;F B' R2 F U' B L2 D' B R U2 L F2 R' D2 L F2 B2 U2 L'
69;16.62;;R U' R U R' F D2 L B2 U2 F' U2 F L2 U2 L2 B L2 F U'
70;14.92;;U' R' F2 L D' F2 U2 B2 U L2 F' U2 L2 F' D2 B' D2 F2 U2 B
71;15.53;;R' B D2 L2 B' R2 B U2 F2 R2 B2 R B D' U B R' D2 L' U
72;11.45;;L F' U2 F' B R2 D L B' D F2 R2 F2 R2 F2 D2 F2 D2 L2 U'
73;13.96;;L' B2 R2 U2 B2 U2 B2 L' R2 D' L' B2 L F' R F' D2 B' L
74;17.78;;D2 L2 F U2 R2 D2 R2 B2 L2 F' D' L R F R B2 L2 U2 R
75;15.07;;L2 F2 D2 B R D' B R' F2 U2 R2 B2 U2 R2 U' F2 D' R2 U'
76;15.77;;B' L2 F' R F U2 R2 L B L2 U' D' B2 R2 U' F2 R2 U L
77;19.82;;U2 B L' D R L2 U B' L' U2 L' F2 U2 F2 D2 R L2 D2 B2 F'
78;12.12;;B' L2 D2 B2 D2 B2 L2 B2 D F2 U2 L2 B L U' R2 U F' R' U F'
79;18.38;;F' B L' U2 R U F B' U2 F2 B2 R2 B2 U2 D' F2 U' R2 D R
80;13.72;;D F2 U2 F' U2 R2 B R2 U2 R2 F' R2 L' D2 R B' R' D' B U' L2
81;14.95;;L' B2 R U2 L' B2 R B2 R' B2 L2 F' R2 D U R' D2 R2 D' R' B
82;17.92;;L' F2 R' F2 L' D' R D F' R2 U2 R2 L2 U F2 B2 L2 F2 D
83;17.83;;U' L2 D' L2 B2 U L2 B2 D' B2 L2 R U' B' U2 L D' L' R2 D' F2
84;18.67;;D' B2 F2 D' L2 D' U' B2 U' B2 F2 L' D R' B L2 U2 F R2 U B
85;16.07;;U R2 D' R' F2 L F' U' F2 L F R2 F2 B U2 D2 R2 U2 F R2
86;15.32;;L2 B' F' D2 U2 R2 F L2 D2 L2 D2 U' L' D' L F R2 F2 U' L' D2
87;20.07;;D2 R2 F U2 F R2 U2 B F L2 B' L' D2 R' B L B2 F D L2
88;19.18;;B L2 B R2 D2 F U2 F D2 L2 D2 L' U' B2 L B' F D' L2 D2
89;16.23;;D2 F2 D R2 B2 D' R2 D B2 R2 B' D2 L' B F' D' B' U2 L U'
90;15.79;;F' R2 F2 L2 U2 R2 U' L2 F2 U' B2 D' F R' U F L' F' R2 D2 U
91;12.61;;D L U' D' F U2 D' R U L R2 F2 B2 D' L2 U2 D' B2 L2 B2 D
92;14.01;;U D2 F2 R' D2 B2 U2 R2 U2 R D2 R2 D F L2 F R D2 B L2
93;14.70;;L' D2 L2 B2 U' L2 R2 D U' L2 D' R2 B F R' U' R2 F L2 D' B2
94;14.00;;D' R2 D' L2 F2 D' L2 D F2 R2 U2 R F' L' B L2 D' L2 R' U F2
95;16.81;;B2 D2 F2 R2 D' U2 L2 B2 U L2 B2 L D' R2 F' U' R2 F D' L U'
96;18.04;;L' F2 R2 D2 B2 R2 U F2 D' B2 U R U2 R2 B' U' F' U' B2
97;13.26;;D F U L D' R' F D B' U2 R D2 L B2 D2 L' U2 B2 D2 L'
98;15.19;;L B2 R' B2 L F2 L U2 B2 U2 L2 B R F' U' L2 U2 L B' F
99;12.85;;R' B2 D2 R' U2 R B2 L U2 F2 L2 F' D U' R2 U' L' B L R'
100;14.16;;F' U2 B' R' D' B L' F2 R' U' L2 U' B2 L2 U R2 U' B2 U F2
101;15.50;;B R2 U' B2 U R2 F2 U2 F2 D B2 D' R' B2 U L2 U2 R' F' L' D'
102;17.96;;R F' B2 D' B' L F2 R2 U F L2 F2 R2 F2 B2 D F2 U R2 F2 U
103;13.50;;B' U2 B' F' R2 B D2 B' L2 U2 L B2 L2 D R2 F2 U' F L' U'
104;22.51;;R' F2 L U2 F D' R B U L' R2 D2 F2 L2 F2 D' F2 U F2 B2 D2
105;18.28;;F U B' R2 L' F U L F' R B2 L2 D2 B U2 R2 F R2 B L2 D2
106;17.87;;F' R2 F D B' L2 U R' F D R D2 L F2 B2 U2 L' U2 R2 B2 R2
107;16.12;;L D2 R2 B F' L2 D2 F2 L2 R2 F' U2 R' B U B D' F' D' U
108;14.63;;D F2 U2 F2 L' F2 L U2 R' U2 L2 U2 D B2 D' B L F U' L
109;13.25;;B2 R' B2 U2 R F2 R U2 L2 F2 L B' D F' D' F2 U R2 U'
110;14.84;;U' B2 D U R2 B2 R2 D' B2 U2 L D' U F' L' B' D' F' U' B2
111;15.47;;B2 D R2 D F2 R2 U F2 D' R2 F2 B R F2 D' F L' F L2 D2
112;15.80;;L2 F2 R D2 L B2 L D2 L2 D2 F2 U' B2 F U' R D' B' L U2 R
113;16.74;;R U' B2 D2 F2 R2 D' F2 D R2 U' R2 B' D B F' R' U L' R2 D'
114;18.75;;R' U2 L D2 L2 F2 R' B2 U2 L2 D R2 U L' R F' D L2 D
115;15.21;;L' B2 U B2 F2 R2 U B2 F2 U2 F2 B' D2 R B2 R' F2 R' B D2
116;18.23;;D2 R2 U B2 D L2 R2 B2 D' B2 D' L D2 U2 L2 B' U B' R' D U'
117;15.17;;U2 L D2 B2 L R2 B2 U2 L B2 R' B' F' R' F2 D' R' F D' R2 D2
118;14.73;;B2 R2 F2 L2 D2 U' F2 D2 B2 L2 F2 R' D' B R2 D L D B R2 U'
119;15.43;;R2 F2 D2 B2 U B2 U2 B2 R2 D' F2 L' D L2 D2 U B2 R' F U2 L'
120;16.64;;U' B L2 F U2 R2 D2 L2 F' L2 B' L' D B U' R' F L' U' B2
121;16.17;;F2 R' F2 L2 B2 R' B2 D2 L2 U2 R2 B' D2 F D' B2 D' U' R' B'
122;16.83;;D B2 R U D' L B R L F2 R2 D' L2 U D2 F2 L2 F2 D F2
123;15.28;;L' U2 B2 R' D2 B2 D2 U2 R F2 U2 B' U L D2 F D L R2 D2 L'
124;16.79;;U' L2 B2 R2 D R2 U' B2 D' R2 F U L' F' D F2 L' D2 R' U'
125;12.72;;D2 U' R2 U2 B2 U R2 B2 D F2 B D R2 F' D' R2 F U L' F'
126;13.96;;F' L2 B' R2 D2 R2 B2 R2 F' R2 L' U R' B' D B' L2 B F2 D'
127;15.07;;F' U2 F' D2 L2 B' R2 B2 U2 F' U2 R B' F L2 F' L' U R' B' R'
128;12.64;;D2 B' F2 L2 D2 U2 B D2 F' L2 U2 R F' U' B' D F' D' B2 L2 R2
129;14.05;;R2 F' D2 F D2 R2 F L2 F' D2 R2 D' L2 U B' F D' B' R D'
130;14.54;;F B2 R2 D U L2 F2 L2 B2 D' B R D' B' R B2 U L B
131;14.85;;R2 F2 D' L2 D2 F2 L2 B2 D F2 D' B R B2 F' R2 D L R' D' R
132;16.29;;L D2 F2 U B2 U' F2 D2 B2 F2 L2 U2 L' F R B' D B2 F2 L D2
133;14.07;;U2 R2 D2 F2 D' L2 U' L2 U' L2 B2 R' F' L2 F U2 F L2 F2 L' U2
134;13.94;;D' B2 U B2 F2 R2 U2 R2 U' R2 F2 R' B' L2 B L' B' U R2 U2 L
135;19.70;;U D2 B2 D2 F' L2 F' L2 R2 U2 L2 F' R' U L F2 R B L' B'
136;17.76;;D' B U F' R2 L2 F2 L U B2 U2 L2 D R2 D B2 U' B2 U'
137;15.31;;D2 B2 L B2 R U2 R' B2 R2 F2 L2 B' D' B' U2 L' U' R' D2 B2 F'
138;12.94;;F2 U2 F' R2 D2 B' L2 R2 F2 D2 U' B' F D2 L' U R2 F' L R2
139;13.55;;F L2 R2 U' B2 R2 D B2 U R2 D L D2 U2 B' U2 F2 D L' F
140;13.32;;B D2 R2 B' L2 F L2 U2 F R' D' R' D2 L D2 U R2 B2 F'
141;14.49;;F D2 F U2 L2 B' F' R2 U2 F' R2 D F R D2 L D' L R' B2 U
142;15.91;;F' R2 L2 U F2 D R' U' R2 U R2 U L2 F2 L2 U' B2 R2 L'
143;20.51;;B2 U2 B R2 F L2 B2 D2 L2 U2 F' D L' R F' L' D2 F2 U' B L'
144;15.65;;B' D2 R2 B' U R F L2 B U' R U2 F2 U2 R' B2 L' F2 B2 L' D2
145;13.90;;D R2 F2 R2 D' U' F2 U F2 R2 U B U' R2 F2 R' U R' U F U'
146;17.05;;R2 F' R L' F' U' D' F' L F U2 R2 F' L2 B U2 F2 R2 D2 F'
147;14.65;;F D2 U2 F' L2 B2 D2 R2 F' L2 U' L D' B' D F L2 R2 F2 L
148;18.41;;R2 F2 D2 F D2 F' R2 F2 L2 U' R2 D R' U2 B D' B2 L B'
149;15.42;;R2 D2 B F2 D2 U2 R2 D2 B2 U R B' F D2 L2 R' U' B U
150;15.05;;D2 F2 R2 B2 D' R2 U L2 B2 U L2 R B' L' D L2 F' U B' R D2
151;13.53;;B2 L2 D2 F2 D2 F' U2 R2 F2 R2 B L' U2 R D' F L2 B L B2 L'
152;13.13;;R2 B D2 B L2 U2 F2 L2 U2 B2 L2 D R' D F U' R' D2 U' F' U'
153;15.34;;L D2 R' F2 R F2 L F2 U2 B2 R2 D' F U' B' U L B2 R' F2
154;14.49;;F' L D' F B D F2 U2 B' L' U D B2 D F2 U' R2 F2 U2
155;14.88;;B2 R2 D2 R2 U R2 F2 U R2 U L D' L' R U' R2 F U' R2
156;16.95;;R2 B2 D2 L' F2 R B2 D2 R D2 L' U' R2 D' B2 L' D2 F' D' B
157;15.09;;F B2 R2 U' F2 L2 D B2 L2 F2 R2 L' F L' D' L' B2 R2 D' R'
158;13.10;;F L2 D2 L2 D2 F2 R2 B U2 B U2 L D U' F' L' D' F2 L D2 U'
159;18.25;;D' U2 R2 U' L2 F2 L2 D R2 U B2 R' U B2 F2 L F' L D U' R
160;14.19;;U' B2 D' R' F2 R2 D' F R F2 B2 U' F2 D2 R2 U F2 D R2
161;DNF(13.83);;B R U2 L F2 L U2 L U2 B2 U2 L' F' D F2 L2 D' B' R' F'
162;17.11;;B' D' L' U R' L D R' D' F2 D2 L2 D2 F L2 U2 B D2 L2 F
163;13.57;;D2 L' B L U2 L2 D R' L' B' R2 F2 D2 B R2 F R2 U2 B L2
164;14.24;;F D L2 U' R2 D' F2 U' L2 R2 D' B D' B F2 U L R
165;15.26;;L' F2 R2 F L2 D2 F2 U' L R2 U2 L2 B' U2 B' R2 U2 B' U2 F
166;15.59;;F2 L B2 L2 R D2 B2 L D2 R' B' L' U R F' L' R' F2 D
167;16.61;;R F' D2 F2 L2 F U2 B D2 F' U2 L2 U B2 R' D L' U L2 D2 R
168;12.43;;D2 R2 D2 L U2 B2 D2 R2 F2 R' D2 B' R U F2 U L' B D F2 L
169;14.48;;U L2 D' F2 D2 U L2 R2 B2 L2 F U B' F2 L F U2 B2 L B' U'
170;18.42;;F2 R2 B2 R2 D L2 U F2 D' B2 U B U' R D' R U' L' R2 B2 R
171;17.67;;D F' D' L2 B U R F' B2 R' D2 R' F2 L2 D2 F2 U2 F2 L2 D'
172;16.77;;R2 B2 D2 L2 F D2 F D2 F L2 U F U2 F2 L D2 U L' F R
173;16.29;;L D2 B2 D2 L' F2 L2 U2 B2 U2 L' F R' F' U' B D' B' R2 D'
174;15.21;;U R2 U B2 D2 B2 R2 B2 D' R2 B2 L B F2 U' F2 D R' F' R' B
175;14.39;;L2 R2 D' U L2 U R2 B2 R2 D2 U' F U2 F' R' D L2 R' F' L F2
