No.;Time;Comment;Scramble
1;16.18;;F' L' R' U2 L' U2 F2 L D2 F2 R2 F2 U R D' F2 L' F' R2 F R2
2;19.85;;B2 L2 U' R2 D F2 U2 L2 B2 U2 F U' R' B2 R2 B D L2 F U'
3;20.03;;D R2 D' F2 L2 D L2 B2 F2 R2 D F R2 U' R' D2 L R2 F' L2 D
4;13.49;;L' U2 L R U2 F2 D2 U2 R' F2 U2 B D' R2 B' R2 U' F' D2 R D
5;14.22;;U D R2 F' R F2 L2 D L' U2 L2 F R2 L2 D2 B L2 F' D2 R2 D
6;17.72;;B' D F B2 U2 L2 D' R' U B2 U F2 U B2 R2 F2 L2 D2 L2
7;11.53;;B D2 R2 B' D2 F D2 R2 U2 B2 U2 R B2 F2 D B R2 D U2 F' D
8;15.85;;F2 U2 F2 R D2 L' U2 L' R' F2 B R' U L B2 U B' D R' B R'
9;14.54;;L2 F2 U B2 U2 R2 F2 U2 L2 B2 D R B' D2 R2 U2 R2 F' L2 B U
10;18.83;;F L2 F U2 L2 B R2 B' D2 B L2 R B D' R' B2 R' D2 R' D
11;15.33;;U2 B D2 B' L2 B2 L2 U2 B2 R F2 D2 U2 R B D' U' B' L
12;15.30;;R' L' U' B D2 F2 R' L B2 D F R2 U2 L2 U2 B R2 D2 L2 D2 B
13;13.72;;B D2 F' L2 F' U2 L2 U2 B F2 U2 R' B R2 F2 D R U' L' D2 L
14;16.24;;L B2 D' L2 D L2 B2 D F2 U' B2 L2 F U' L2 B D2 L2 D2 R D2
15;11.00;;R2 D F U2 D L D' F' B2 R2 D' B2 R2 U R2 U F2 U' B2 L
16;17.57;;D2 R F2 B L D' F2 U' D2 L2 F L2 B' U2 F2 B U2 R2 B U'
17;15.88;;B' R2 L D L2 D R L B U2 F2 R2 L2 D R2 D L2 U2 B2
18;14.68;;R2 B2 F2 U2 R U2 B2 U2 R2 U2 R2 F D' U2 F2 U L' R' F L' B
19;17.74;;F2 R' D2 F2 R' D2 L' F2 D2 R D2 B' U' L2 B2 L U2 F2 L' D R'
20;15.57;;U2 L2 D B2 L2 D B2 R2 D' U2 R2 B F' D F' L' U R' F U F2
21;15.47;;D2 L' B R L2 F' U' R2 L D2 R2 F2 U2 F2 D' B2 D B2 L2 U F'
22;17.00;;L2 R2 U B2 D' U' R2 U' F2 U' R2 L F2 D' B U L' R' B' R' U2
23;15.69;;L U' R2 B2 D' B2 U R2 B2 U B2 D2 B' F2 D' B' F U B' R'
24;17.63;;F' U2 F R2 D2 F' L2 F L2 F D L2 R B2 U' R' D R B'
25;11.01;;D2 L2 F2 U B2 U' F2 U' L2 U R2 L B' L2 R2 B U F' R F D2
26;19.73;;B R' F' B' L F' B' D' U2 B2 R D2 F2 L' F2 U2 L D2 R D
27;17.84;;L' U' L2 U R2 B2 U B2 L B U' B2 U2 F2 L2 B2 D' L2 U' B2 D2
28;14.41;;U2 B2 D2 R F2 L' R' U2 L' F2 R2 D F' U R2 B2 R2 D2 F2
29;17.99;;F B L F' U' D2 B' L B2 D2 L2 D2 R2 B2 D2 F' L2 F R2
30;20.40;;R2 F2 L2 U' F2 L2 D2 U L2 B2 L2 R U F L' R U R U2 F L2
31;16.39;;R' D' R2 U' L2 D' B2 D U F2 L2 U' B U' R' D' R F2 L F2
32;15.03;;F B' L D2 B D' F' B' U F' D2 B' R2 U2 L2 F2 R2 B U2 F2
33;17.42;;F U R2 D' L2 B2 D B2 R2 D' F2 R2 F L' U L R' B D2 L' D2
34;15.81;;F R2 F2 B2 U L B U' R' F2 U2 L2 F2 L2 B2 U B2 R2 U2 L2
35;14.74;;U' B2 F2 R2 U B2 F2 L2 U' B2 R2 B' D' U R' B2 U' F' R2 F2
36;13.42;;F2 L' B2 U2 B2 L2 D2 R D' B' U' F' D' R2 U2 B L F2
37;15.47;;R' U L2 B2 F2 D2 U F2 D L2 B2 R D2 F' L2 R2 U' F2
38;15.96;;L' B' L D2 R' D2 B D' B2 R F2 D2 R' U2 R L2 F2 R B
39;12.71;;R U L F' U D2 R F2 L D' U2 F' U2 B2 L2 B' D2 B U2 B2
40;15.39;;F2 L2 D2 L2 B' U2 R2 B' U2 B' R' F R2 U L F R' D' B2 U'
41;15.63;;B' F2 D2 B2 R' F2 D2 R D2 R2 B2 R' D' U B F2 L D2 F' D B
42;23.30;;F2 L2 F' R2 B' R2 F D2 R2 U2 R2 U' F D' F2 D2 R' D R2 B'
43;17.41;;U L D2 R B2 R U2 R' D2 R D2 L B R2 F U B2 U2 R' F
44;16.68;;F U F' B D R F' L' D F L2 B2 R2 L2 F U2 R2 L'
45;15.10;;R' F2 L2 B2 L B2 D2 B2 F2 L2 U' B D' B L' B D' F2
46;15.35;;D2 L2 D B2 R2 D R2 D U2 R2 F2 L B' F L B F2 U' R' B R'
47;13.42;;F2 R U2 B2 L U2 F2 R D2 F2 R2 F' R D' L' D2 B2 U' F
48;13.27;;F' D2 L2 D L2 R2 D B2 U' B2 L' F2 D' L2 B' D U R'
49;16.05;;F2 R2 U L2 U' R2 F2 U' L2 B2 D2 B L2 F' D' U2 R' D' L' R' B
50;13.68;;D' L2 B2 F2 D2 R2 F2 U' B2 U' R' B' U2 R2 D L2 B' R' B' U
51;12.93;;L' F U2 L2 D2 F D2 F' L2 B F U2 D F' R2 F D R' U2 L F'
52;20.10;;R U' L2 F U2 B' R2 U F2 R U2 L B2 D2 L B2 L F2 L2 U
53;15.25;;U B2 L F2 B' L D B2 R' B' R2 F' R2 F L2 F' U2 L2 U2 B
