No.;Time;Comment;Scramble
1;1:27.85;;Rw2 R Fw' F Uw2 B' U L U' F B Uw Rw F' Fw Rw2 U' F' L2 Uw2 U' R2 U' Rw2 U2 Uw2 B R2 Fw R2 U' Fw' B' F' Rw' L2 R Fw' Rw U'
2;1:14.21;;U2 L2 D Fw L' D' R' B' Fw R L' D Fw B L2 Uw F2 B R D2 Rw' L F' Rw U2 Uw F2 U' L R Fw2 U2 R2 Rw2 B2 Fw2 D F' Rw' B'
3;1:20.73;;Rw L' R2 U2 L' R' B' F2 R Rw' Fw' F2 U Fw' Rw B' F' U2 Fw Uw L2 U' R U' D Uw Rw B F D2 F Fw L B' D' Uw' L' B' L F'
4;1:06.62;;U' Rw2 R2 F' D Fw2 B D Rw2 R2 F' Rw F' D2 F' R' L2 F Rw2 R2 B' Rw B L' Rw2 D2 R2 Fw Rw F2 U2 B' R' L U2 Rw' Uw2 B2 Rw2 B'
5;12.32;;Uw D U2 Rw L Uw2 D Fw' Rw' U' Fw2 D Fw' B D2 L' Fw2 Rw' R2 U' B2 Uw D' B2 Uw2 R' L F B' R B Fw' R2 B L2 U' D' R' Rw2 L2
6;18.05;;B2 R2 F' L2 D2 L2 R2 B U2 F R D R' B L F' D2 U L' F
7;15.85;;U F2 R2 F2 R' U2 B2 R D2 U2 F2 L2 B' R2 U' B' U R' D F' L2
8;15.97;;L2 B2 L2 U L2 F2 U' L2 D U' L D L' B F L' F U' F2
9;11.87;;L2 U2 B2 F2 D B2 L2 U' B2 D' R B L R D U' L R D2 R2
10;16.02;;F2 U' D' F2 B2 R F D R2 D2 L2 U L2 D' B2 L2 U' L2 R'
11;15.94;;U2 R2 D2 R' D2 F2 U2 B2 L U2 L2 F' U2 B R F U' F' L' B2
12;12.92;;F D L B' L' U' D F R' B' R2 F2 L2 D2 F D2 B U2 B' R2
13;15.41;;F2 L2 R2 U2 F2 L2 U L2 F2 D' B2 R' B F2 D' F' D L B2 F U
14;13.02;;D2 U' L2 R2 F2 L2 D L2 D U2 F2 L' B2 U' F' U' R2 U2 L2 R' U2
15;14.59;;F2 D R2 F2 U' F2 L2 D R2 F2 U' L' R' F' D' R B L' U' B2 U2
16;20.53;;L U' L2 F2 U L2 U' B2 D B2 U' L' B R D' R2 U L' B2 L2
17;13.12;;R B U' L D' B' L' F2 D' R F2 B2 R2 B2 U' L2 D2 F2 U' B2 D
18;14.96;;L2 D R2 D' F2 U2 R2 F2 U' B2 F2 L B2 F L' D' B L' F' R' U2
19;16.28;;F' L2 B2 F2 D R2 U2 L2 F2 L2 D' U' L F L2 D' B2 U' R D R2
20;14.01;;R2 U' B2 D2 U' R2 B2 D R2 B2 R2 F' R D2 B U B2 L' D L2
21;14.25;;L2 F R2 U2 F2 L2 R2 F U2 F2 D2 U F U' F' D' L' F' L' B'
22;17.15;;D' F D2 B' L2 F D2 R2 B' U2 F R2 U R D' B2 F2 R' B D2 L2
23;12.15;;U2 L' D2 R2 F2 D2 L D2 R' B2 R' D' R' U L B' L2 D' R2 U L2
24;14.65;;R2 F' R2 B' U2 L2 F2 D2 U2 F U F2 L2 R F R U' L' R F2
25;13.54;;F' U2 B' D2 U2 B' R2 B' U2 F D2 L F' R' D' B L F L2 D' R
26;14.77;;L' U2 R2 D2 L2 F2 D F2 L2 U' F2 U2 R' U L' D R2 B' F2 L
27;14.55;;F L' U R F2 L' B' L' F U2 R F2 L2 F2 L2 D2 B2 U2 D2
28;14.74;;B' L U' D R D2 F' D2 L' U L B2 R' F2 B2 L' F2 B2 D2 L2
29;17.08;;F U2 F R2 B' R2 F L2 D2 L R F D' L F2 U F U
30;17.65;;R2 U' R2 F2 L2 U R2 D' F L' D2 B L B R D' F2 L'
31;14.86;;F2 R U2 R' D2 L' U2 F2 L' B2 F2 D L2 D L' U2 F' L2 U F2
32;15.84;;R2 B L2 B2 D2 R2 B D2 F' R2 B D L2 U R B2 L' F L U2 R
33;17.73;;B2 U' R2 U R2 U2 B2 U' B2 L2 D2 R' U B D L2 B2 F' D' F L
34;13.18;;D2 L2 R2 B2 R2 U2 B U2 R2 D2 L2 U' F L U2 B R' D2 R' B' R
35;12.67;;F2 U2 L2 F' D2 R2 B' F2 L2 B D2 L B R' F' R2 D' U B2
36;14.76;;U' B L' D' R B2 U L' B D2 B2 U2 R' B2 R D2 R' U2 L' F2
37;15.45;;L2 F' R2 U2 L2 R2 B' U2 L B U L R D R2 B L F2
38;11.50;;D2 B2 U2 F' R2 F' D2 F R2 D2 L2 R B2 R2 B L U' R F D F
39;13.44;;L' D B R L2 U2 F2 U' R F B2 U2 B L2 F R2 B L2 B2
40;16.08;;B2 U2 L2 U2 R2 U F2 L2 D' B2 F' R B' L2 F U' F2 L' D R
41;18.56;;U' B2 L2 D2 F2 U R2 B2 L2 R2 D R' D2 F' L U R2 B' U' L2 U
42;15.47;;B2 F2 U L2 R2 D U B2 U' R D' R U' L' U2 B' U' F2 R
43;11.49;;U2 R2 F2 U2 F2 U F2 D' F2 R2 U' F' D F2 L' D B' L2 R2 F L
44;15.87;;L' R2 F2 U2 B' U2 R2 B' U2 F' D2 U2 L F2 L2 U' B F2 U F'
45;22.35;;R' B2 D L2 D L2 D B2 R2 U2 B2 U' L' U L2 D U2 F R' B2 L
46;24.51;;D2 U' B2 U L2 B2 U' F2 L2 D' R B2 F2 D2 L B' U' F
47;17.52;;U' F2 R2 B' L D' F' U' R F2 U2 F D2 R2 D2 B2 U2 B' U2 R2
48;13.56;;R B' D2 F L2 U2 B2 L2 B2 L2 D2 U R' B2 D2 U B2 L' D' U2
49;14.29;;D2 R2 F L2 B2 F L2 D2 B' F D L' D2 R U2 F' R2 F' U R
50;15.27;;U' L2 B R' D2 F' U' R F2 R' U2 R2 L2 F' U2 F B2 L2 F R2 B
51;17.95;;F' R2 D' F' D' L' F2 L R2 U F2 B2 U F2 B2 R2 U' L2 D2
52;18.66;;U2 B U B2 U L D B R L2 U2 F' L2 B L2 F' L2 F' L2 B'
