No.;Time;Comment;Scramble
1;18.24;;B2 L' B2 D2 B2 D2 F2 R' U2 D B' D2 U2 R2 F D' R F' L
2;14.72;;L2 U L2 R2 U2 R2 U' F2 L2 B2 D L D' R B2 L2 B R D F U
3;18.25;;U2 F2 R' B2 U2 L' U2 F2 L' D2 L2 D' F2 U F U R B2 U' B' L'
4;14.09;;D2 F2 L2 D2 F D2 L2 D2 B' D2 L2 D' R' U2 L D2 F' D F' R
5;22.46;;L U2 L2 R F2 U2 F2 U2 L R F2 D' L' U' R' B L' F L U'
6;17.13;;U' B D2 R' U' F' B D B' D' R2 D2 F2 U' F2 D F2 R2 L2
7;14.60;;L' B2 L U2 R2 U2 B2 U2 L F' R2 D2 U' R D B' U L
8;14.74;;U D L' D R2 B' U' R' D B U' B2 U B2 D' R2 L2 D F2 U' R2
9;12.86;;L' F2 D F' B2 D2 B' U' F D2 L2 B D2 F R2 D2 F R2 B' L'
10;16.58;;R2 B2 R' D' R2 U2 F D' U2 L2 D2 L' F2 L D2 B2 R D2 R2 F'
11;17.15;;D F2 U2 L R2 B2 R2 D2 F2 D B' F2 U2 L2 R U F' R'
12;14.60;;L2 D' F R B L F2 R B U2 D R2 B2 L2 F2 U B2 L2 U2 D
13;12.60;;L R2 B2 U2 L' U2 L' F2 D2 B2 R B' D U2 B' U' L2 R2 F' U'
14;13.60;;L2 D F2 U B2 D2 F2 R2 D U F U' L2 D L R' D2 R2 B' D2
15;16.63;;R F2 R2 B2 F2 U2 B2 R' B2 L' U2 B R F2 R B' D' B' R D2
16;13.98;;L' R2 B L2 R2 B2 R2 B F' R2 F' U2 R' F D R B R2 D' F2 D'
17;18.01;;R2 B' U2 F2 R2 D2 R2 F' L2 B F2 D' B2 R F D2 F2 U R B'
18;21.04;;R2 U2 F L2 R2 F R2 U2 R2 F' R' B D R F R' F U R' U2
19;15.30;;U2 B2 D2 L2 B2 F' L2 F2 D2 L2 U2 L' B2 D L2 F L' F2 R2 B2 U'
20;17.22;;U2 L2 B2 L D2 F2 L B2 U2 B2 R' F' R F R D L' R D B2
21;13.53;;D L2 U B2 D' U F2 R2 F2 U L' B2 U L2 B' U B L B' R F2
22;15.76;;D' R' D2 L U2 R2 B' U' L' U' R2 F D2 L2 U2 F' R2 B U2 B'
