No.;Time;Comment;Scramble
1;18.31;;L2 U F2 U2 F2 L2 F2 R2 U' R2 F2 B' U2 B D' B' L' D' F2 L D2
2;18.06;;L2 R2 U F2 U B2 R2 U B2 D F U' L U2 L' D' L B2 R
3;13.93;;U2 B2 F2 L' F2 R F2 D2 R F2 R' B' D L2 B' D2 F' L' B2 D2 R2
4;13.23;;B L U L2 B' L2 F B D2 R L2 F2 U2 B2 L2 U B2 D' B2 D R2
5;15.08;;R' F B D' B' R2 L D R' F2 R F2 B2 R L2 D2 R F2 L F
6;15.30;;F' D R L' U2 B' D' L' F' R2 U2 B2 L2 U F2 U2 F2 R2 U' R2
7;13.37;;F' B' U' R F' D' F' R B2 L R2 B2 R2 F L2 U2 F' U2 R2 B'
8;16.25;;L U B2 R2 D R2 D B2 R2 U2 F2 U F' D2 B' L B2 D2 R U' L
9;16.57;;U L2 B' R2 U2 F' D2 B D2 F L2 R2 D' L U' B2 D' L2 R' F L
10;13.78;;B2 F2 R B2 R' B2 D2 L' B2 R F D' L2 B' U F2 D' F' R' F2
11;15.45;;L R2 B2 L B2 U2 B2 R2 B2 L' R' D' L B R2 F L2 F2 U' F U2
12;15.38;;R D R2 F2 D' F2 U B2 D' B2 R2 B2 L' D' L R2 U2 L F R2
13;12.64;;R' D2 R U2 B2 L D2 U2 L2 D2 R2 F R U B L' D R' B F2 L2
14;15.13;;B' U' L2 F2 U F2 D B2 U2 L2 D' R2 B R' F2 L U R' U L U2
15;16.15;;F2 U F2 R2 D F2 U B2 R2 B2 U' B' R2 B2 R' U2 B' F D' B2 R2
16;17.54;;U2 L B' R D2 B U D' F' L U' R2 L2 U' L2 B2 L2 F2 U2 L2 U
17;10.60;;R2 F2 U' R2 B2 R2 U2 L2 U2 B2 D' F' L F' D' L B' R U' L B
18;14.32;;U F' U L' F' B' U F D U2 B R2 F2 D2 F B2 R2 D2 F' U2
19;17.05;;B L2 B' F2 L2 F' L2 R2 F2 D2 R2 L' U L' B' R' D B' D2 L2 B'
20;12.85;;F R' U2 R2 U2 L D2 B2 U2 R' U2 D' B' F2 R2 B2 R' D
21;15.87;;U' D B D R2 U2 L' D L2 B R' U2 F2 R U2 R2 B2 R U2 B2 R'
22;10.94;;F2 U2 F2 R' U2 B2 U R F2 L2 D2 R' U2 L F2 L' U2 L' B
23;15.99;;F2 R' F B2 D2 R U' F' D L U2 L2 F R2 B' L2 F R2 D2 L2
24;15.87;;L2 R F2 D2 L2 F' R2 F R2 D2 F D' L2 B F D' L' D B' U2
25;12.16;;F2 D' F2 R2 U L2 F2 D' F2 R2 B2 F' L B2 F' R' U' F2 D R' U'
26;18.63;;U R2 D2 R2 U B2 R2 B2 F2 D' B2 R' B' U' B2 U2 B2 F' L' R
27;15.20;;U' D R2 U F' L F B U L F2 R F2 R' F2 R' D2 L2 F2 L
28;11.74;;R F2 D2 R' B2 U2 R D2 F2 D2 R F' R D F' U L2 U' R' D'
29;15.12;;R2 U2 L2 D' R2 B2 U R2 D' B2 U' F' D L R U' R' F2 D' L U'
30;14.75;;R2 L' D' B' R F' R' L' U R' U2 F' U2 F2 U2 F L2 F
31;15.98;;L2 F R2 F U2 B U2 F2 D2 B' F2 L' B D' B' D B2 D2 L R B'
32;13.43;;B' U' R2 B2 L2 B2 D' U2 L2 F2 D L2 R U' B R2 B U F' L' D'
33;17.94;;F L2 D2 B2 D' L2 U R2 B2 L2 F2 U R' F' D2 U' L D' R2 B' L2
34;20.67;;F2 U2 R2 D2 L2 F U2 B' D2 B2 L2 R' D' R' U F' U L' R U2 L2
