No.;Time;Comment;Scramble
1;22.07;;U2 F' D2 L2 B F R2 B' U2 L2 D2 U' R' D2 L R F' R2 B' F'
2;14.67;;R2 U' L2 U' F2 D' R2 B2 F2 D2 L2 F' D F' U2 B U2 L U R2 F2
3;16.49;;D2 B2 D2 L F2 R2 F2 L D2 F2 D2 B U' B' L2 R2 B' D2 U' R
4;16.87;;B2 R2 D B2 F2 R2 U B2 U2 L2 R2 B' U F R F' L2 F2 D2 L U2
5;15.31;;U2 L2 U' R2 U B2 D' R2 U R2 B2 R B L2 D' F L' F2 D F' U'
6;9.89;;D F L2 D2 B' U2 F2 L2 F R' U2 R B2 U F' L2 R2
7;14.46;;U' F2 R D2 R U2 R' D2 F2 R2 U2 B2 D B L U L2 U L' D R2
8;14.49;;R L2 B L2 B' U2 B2 F R2 F L' F D2 L2 B L' D' R D
9;12.27;;R2 L2 D2 B2 D B U L' F D' L' D2 F2 B2 L U2 B2 D2 B2 L2 B2
10;14.11;;U B2 D' B' R' D' R' F' U B2 D F2 B2 U' R2 D B2 U' R'
11;16.11;;F' D2 L2 F' U2 F2 D2 F' R2 B2 U2 R' D2 L F' D2 F' U' F L F'
12;13.18;;D' R2 F2 U F2 L2 U' R2 U' F' D L U2 F2 L' F2 L' R2 U'
13;14.64;;F2 D' F2 R2 F2 D2 F2 D L2 F' D B' L2 F2 D B' R U' L'
14;11.34;;B U' R2 B R D' F D R F2 D2 L F2 R' D2 R2 L F2 D2
15;13.88;;R' F2 L' B2 R' B' U B2 D R2 F' U2 D2 B U2 B2 D2 B R2 F'
16;14.19;;F' U2 B D R L' D2 F U2 B' U F2 U' R2 B2 U' R2 D2 L2 D'
17;14.46;;D2 B F D2 F' U2 B U2 F' D2 U' F' R' D2 B L2 F' D' L D
18;12.88;;D L2 R2 D F2 U L2 U R2 B2 L' U' L' R F' L2 D U B' D
19;18.87;;U2 L2 B2 R' F D' R2 L B2 R' F2 U R2 B2 U' L2 U2 L2 F2
20;19.11;;B2 U2 B2 U' F2 L2 U B2 R2 F2 B L' F L2 F D L B L R'
21;17.17;;D2 L B2 U' D' R B' L D' F' U2 L2 F' U2 R2 F R2 D2 L2 B'
22;14.38;;B' F2 R2 U B2 L2 U B2 D L2 B2 L2 F' R B2 U2 B2 U2 F U R2
23;16.53;;B' D' F2 D2 B2 F2 D' B2 R2 D' R2 U2 R D R B' F2 D' U2 R
24;15.30;;B D2 B' L2 D R' U' R' L' D B R2 L2 F2 D2 B L2 U2 R2 B2 D2
25;18.28;;D' B2 L2 U R2 D L2 B2 R2 B2 R D' L2 F' L2 B R' U' B D2
26;17.94;;D R F' B R L F2 D' R' U F2 U2 R2 B2 L F2 R F2
27;15.49;;B' D2 F2 R F2 L2 D2 F2 L2 R' U2 F2 D' B' F' D R' U2 R B'
28;13.80;;L2 F' D2 U2 B' D2 B R2 B2 U2 F' L D' F U B R U2 B' D' F2
29;17.07;;U2 B2 F' U2 B R2 B2 U2 R2 U2 F2 L U' F2 R' F' D' R F' R D
30;13.86;;D2 U' B2 D' B2 F2 L2 D R2 U F2 L' R' B L' F2 U' L' F' R' U2
31;16.01;;F' B' D R2 U' F L U' L U' L2 U' R2 L2 F2 D' L2 D R2 D2
32;15.40;;F2 D' F2 U' L2 B2 U' L2 U' B2 U2 B R' U2 L' F R2 F U' R' F'
33;19.51;;R2 B' R' D R2 D' F' U2 L' F2 B2 L2 D B2 R2 D' R2 F2 R2 D2
34;15.77;;L F D L' F' U B R' U' B2 R2 B2 U2 R2 U L2 F2 R2 D' L
35;13.83;;U2 F R2 F R2 U2 F D2 R2 L' B D U F' D2 F2 D' L2 R2
36;13.31;;B2 L2 D R2 B2 D B2 D2 F2 R F D L B2 L B L2 F2 L'
37;14.42;;F2 D R F' B' L' B' U2 R2 D R' B2 D2 F2 R U2 L' F2 L'
38;13.66;;L' U2 B2 F2 U2 L' D2 B2 L D2 R2 B L D' L' F L D2 R' B2 U
39;12.69;;L2 F' U2 R2 D2 F2 L2 F R2 D2 B2 U' B' F2 U2 L F D' R' D2 U
40;14.53;;R2 U' B2 D L2 R2 B2 U L2 U' B2 R' F2 D' R B' U L R U F
41;11.11;;U L2 D L2 U L2 F2 R2 B2 U' L2 F L U' B R' B' U L2 F2 R2
42;16.11;;L U F2 R2 U2 R2 D' R2 U' F2 U' F2 L B U2 F2 R U L2 F'
43;13.78;;D' U' B2 F2 D' L2 U' R2 F2 U B2 F' L2 U' F' L R2 B' L2 F2 L'
44;15.36;;F U2 R2 D R2 U B2 F2 D R2 B2 U' F L' F U' L2 B' U L' D2
45;15.69;;F2 U2 B L2 R2 B L2 B U2 R2 D2 L' B' R' D L' U' B D F' R
46;14.34;;B2 U' B2 U' F2 D2 L2 D2 U F2 L2 F L F' D U2 F2 L D U'
47;16.44;;B' R2 U B2 F2 U' R2 D U L2 F2 U' F L' D2 L2 D' L F U2 R'
48;15.06;;B2 D2 F L' F U B' R L' F2 R2 U2 B2 U' L2 U' F2 R2 F2
49;22.93;;L' D' B2 F2 L2 B2 D2 B2 D B2 F2 U L' F L B L U L2 B' L2
50;15.74;;D B2 D2 U' B2 R2 D B2 F2 L2 R D U2 F L' R U B2 F R
51;14.19;;R2 B' L2 B D2 B' L2 U2 F' U2 F2 D R B D' R' F2 D B U2
52;17.94;;D R U2 R' F2 D2 L' B2 R D2 B2 R2 D' L2 F R U F' R' F2
53;8.71;;U B2 D' L2 U B2 L2 B2 U2 B2 L D2 L' B L' U' R' F2 R'
54;11.49;;D2 F L' F' R B2 D B' L' F2 D2 R' D2 L D2 R F2 L F2 U
55;14.95;;U2 R2 F2 U2 R' D2 L' D2 B2 R' F2 U' B R2 B' D B F2 L' B' F
56;16.13;;U2 B2 U' F2 R2 B2 U F2 D2 B D R' D' B2 L' R2 B2 R2 U
57;14.29;;U2 B L U D' R U F B L F2 U R2 U R2 F2 L2 U R2 D2
58;13.21;;B L' U2 R' D2 R' B2 R2 F2 D2 R' D2 F' U' L R' B D2 U F' U2
59;13.71;;F2 R2 F2 U R2 D' U2 B2 L2 B2 F' R B' D' L2 B2 L' F' L F
60;15.37;;R2 B' L' F2 U D L D' F2 D2 F R2 L2 D2 L2 F' L2 B2 L2 D'
61;20.86;;B2 D2 L2 U R2 B2 D' F2 U' F' L' B2 U' L2 U' B' R' U2 F2
62;12.78;;L F' D2 B' D' L2 F' D' R' U R2 U2 F' R2 U2 D2 B R2 F U2 B'
63;10.04;;U2 R2 F2 L2 F2 U2 L2 U' R2 U2 F2 R F2 U' R' D B' D2 R'
64;15.62;;L B D2 B R2 U2 F2 U2 R2 F' R2 B D' L R U2 L2 D' B R' F
65;14.32;;R L2 B2 F2 D2 F2 D L2 R2 F2 L2 D F L U' R2 U' R F U' B
66;10.13;;B D2 U2 F U2 L2 B2 L2 B F' R U2 R B' U' B' R2 F L
67;16.39;;L U2 R B' R2 D' R' U L' U2 R2 F2 L2 F2 D2 B' U2 L2 D2 L2 U
68;14.90;;U2 R2 B2 F' D2 F2 D2 R2 F U2 D' L' B F R D2 L F2 D2 U
69;15.60;;B2 D' B U' L2 D2 B' L B2 R U' L2 U' L2 U F2 B2 D R2 U R2
70;20.11;;B2 U2 R2 D' F2 L2 D' F2 D' U2 F R B2 R' B' L' D' L' B2 U2
