No.;Time;Comment;Scramble
1;20.70;;F D2 L2 U2 F' U2 B F' U2 F D F R' D' B R2 F D' F2
2;21.37;;F L2 B2 D' R2 U' R2 F2 L2 D R2 D' L B L' U R D' U F' U2
3;18.87;;D2 R2 U2 L2 D R2 D F2 D' F2 U L D2 U' B D' U' R' B2 D R2
4;19.27;;F' U2 F' D2 U2 F D2 L2 B2 U2 F U L2 U' L D2 L' B2 U'
5;17.65;;D' R2 D2 R2 F D2 B U2 R2 B L2 B' R U R' U2 F' L R' B' D2
6;18.95;;R B2 L R D2 B2 L D2 L' D2 F2 U F2 U' R F D R' U'
7;22.93;;B2 U' R2 U' L' U' R B L F2 U' L2 F2 R2 B2 U' R2 D2 F2 U2
8;19.53;;F2 R2 L' D' R2 F D2 B R' D U2 R2 D2 F2 R2 F L2 B' L2 B2
9;18.18;;F' D' B2 L F2 R2 F U R U2 L2 U B2 D R2 L2 B2 L2 F2 U' F
10;23.19;;F L2 B2 U2 L' R F2 L' B2 F2 R U2 F' L B L' U L2 F
11;21.21;;B R' B2 L F2 D2 L2 B2 R U2 R' F' U2 L R' F U F U'
12;18.08;;B2 L2 F2 D2 F R2 U2 L2 U2 L' D F L D2 F2 L' B' D' U
13;16.45;;B2 L' U2 B2 L B2 L F2 L U2 R' B' D' F' U2 B' R' U' F' L D
14;22.33;;F B2 L' U2 R2 F' D' F' B2 D F B R2 U2 R2 F2 R2 D2 F' U2 L2
15;19.18;;D' B R F' R2 D2 B D' R F' U2 F' D2 F2 D2 B' R2 F2 D2 U
16;19.57;;F2 D2 F2 L2 U R2 D F2 D L2 R' B' F2 L' U F U R U' F L2
17;25.17;;U B2 L2 D' L2 R2 F2 L2 D' R2 U' R F D B L B D' B2 U' B'
18;29.51;;F' U2 R D2 F2 R F2 U2 L D2 R F D2 B2 U' B' L2 D2 R'
19;22.20;;R U2 R2 F R2 U2 B2 F2 R2 D' B2 L U B' R' B' R2 F
20;15.06;;B2 D' B2 D' B2 L2 F2 R2 U' L2 U F' U' B2 D' F' U2 L B2
21;24.52;;F L F R' B' D2 B' D2 R B2 U F2 B2 D R2 D B2 D2 F2 U2
