No.;Time;Comment;Scramble
1;14.42;;R' L2 D2 B2 L2 B' F2 R2 D2 B2 R F' R F2 D' U2 L2 D'
2;13.70;;D2 B2 U2 F2 L2 B2 L' D2 B2 F D' R2 F2 U B2 D' L' B' U2
3;15.66;;D' B2 D' L2 B2 U2 B2 U2 R2 U' F' L R' D' U' L2 R2 B U' F U'
4;14.76;;D F2 U' B2 F2 D' F2 R2 U L2 R2 F D' R B U2 B' F' U' R2 B
5;17.11;;R2 B2 U F2 D' U2 L2 U' F2 D' L D2 U B L D2 L D B2 R2
6;18.03;;L2 U F2 U F2 R2 U2 F2 D' L2 B2 R' F R D L2 D2 L' B2 F' L2
7;11.52;;L2 D2 B2 F' U2 F' L2 U2 L2 U2 B' L' F U' B L' R B' R' D2
8;14.14;;D' L2 D' B2 L2 D B2 R2 U2 F2 R2 L' B' U' R' B2 L2 D' U2 F'
9;12.90;;U' D' L' F B' R2 U B D' U2 B R2 B R2 L2 D2 R2 B R2 F'
10;17.98;;U R F2 U2 R2 B2 D2 L' B2 R' D2 B2 D' B U2 R' B' D2 R2 U B
11;14.87;;F2 L2 B' D' R D B R L' F' U2 D2 F' L2 B D2 F B' R2
12;19.07;;L2 F' U2 R2 F U2 F U2 R2 B D2 U' F L' B R2 F' U F2 R B
13;16.50;;B U F2 R' D2 L D' F B2 L' B2 D2 L' D2 R2 L F2 B2 U2
14;13.56;;F' U2 F D2 F D2 F R2 D2 R2 B' U' B F L' F2 U F L2 R D
15;15.94;;B2 L2 B2 D F2 D' B2 D2 B2 L2 U' R U2 B D2 F2 U' R D2 L2 F2
16;15.21;;F2 U2 R2 D F2 D2 B2 D' B2 F2 R' D2 R' B' U L2 U2 R B2 L
17;14.44;;L B2 R2 U2 B2 R2 D2 F2 L' U2 D R2 F R2 F' U' L F2 L' B2
18;15.46;;D' F2 D' B2 U' R2 B2 U' R2 F2 U2 B' U R D' L U' F' L' F2 D2
19;14.22;;D F' U D' F2 B U' L2 U2 L B2 D R2 U' D2 L2 F2
20;15.95;;D' B2 U' R2 D2 U' L2 U' B2 F2 L R D' B2 F D B' U B L'
21;15.39;;B' D F2 U L2 U2 F2 U F2 D F R' B' D' U' B2 R' F2 L'
22;15.77;;R2 U' L2 D U2 L2 D B2 D B2 R B2 D' R2 F' D' B2 U' L F2 D
23;11.59;;U2 L' D2 R U' F' L2 D2 R' F D' F2 D' R2 D' F2 R2 D F2 D'
24;17.85;;D B2 U' F2 L2 D U2 R2 U2 B2 R' D2 F L U R2 U L' D2 F2
25;16.60;;D2 U2 F' R2 B' D2 R2 B' F2 D2 B' D' R' B' L' B2 D B' F' R' F'
26;14.69;;R2 U L2 B2 L2 U' F2 D2 U2 F2 L B D2 F' D L U' B' R' D'
27;21.38;;F2 U2 B2 F2 D L2 U R2 U2 B2 R' D F R2 F L' D2 F U B2
