No.;Time;Comment;Scramble
1;17.71;;B2 L2 U B2 U L2 D2 F2 D' F2 L' U2 R' F' L B' U L2 B' R
2;14.42;;F R2 B' D2 U2 F2 U2 B' D2 F R B U2 B U2 L' D L' U' B2
3;20.04;;B L2 B U2 B' R2 F2 R2 D2 F L2 U' R' U L' U2 B' D B2 D'
4;16.37;;U' L2 F2 L2 D U2 R2 F2 D2 U' R2 B' L' B' L' D' L' F D R2 B2
5;14.64;;B' D2 F R2 B' D2 B R2 U2 F' R U' L R2 B D2 B' U' L
6;13.48;;U' L2 U L2 B2 L2 B2 R2 D2 R2 U F' L2 B D U R B R D L'
7;15.30;;F2 U' F2 U2 L2 U R2 B2 D2 U' R2 F' U2 L' R2 D F' R D' U2 B
8;13.88;;F B2 R2 U2 B2 L' F2 U2 L U2 B2 L F L' B R U' B' R U'
9;17.64;;R' U R2 L B R F' D' F L B U2 R2 B' R2 B2 L2 D2 L2 U2
10;17.07;;R2 B' R' L F U D' B D2 F2 L2 U2 L2 U F2 L2 D2 R2 U L'
11;13.24;;U R' F' U B L B2 U' R2 U2 B' D2 F U2 D2 R2 D2 F D2 R'
12;19.13;;B2 R2 L' F2 B' U R2 U' B' F2 L2 F2 D2 R2 U' L2 U F2 U2 R2
13;15.74;;U' R2 U2 F2 D R2 B2 D' R2 D R2 L B' L2 F' D' F' L D R'
14;27.68;;L D2 B2 L2 D L2 U R2 D2 B2 D' F R' F2 L' B U2 F U B2 L'
15;17.89;;D2 U B2 D B2 R2 B2 D2 U' F2 U' B D' U F L' D2 R2 U F2
16;16.50;;U2 R' D2 R2 D2 B2 F2 L' F2 D2 B' L R U F' R' F D F
17;12.06;;U' F2 L2 D' U2 R2 U' B2 F2 L2 U' L U R2 U' B L D' B' L2 F'
18;19.53;;D' R2 U' B2 L2 F2 R2 D2 B2 D' L' R' B D' R' F' L B' F2 D
19;15.80;;L2 U2 B2 L B2 U2 B2 L' R2 B2 L D' B' D2 U' B' D2 R D B2 U2
20;17.32;;L2 D U B2 U' F2 L2 U2 L2 R2 U' R F' L U' R D2 F' U2 B' D2
21;16.46;;U' D' R' F2 U D2 L2 B D' B2 D L2 D' R2 L2 F2 D' B2 F
22;20.43;;D' R' F2 L' B' D R2 U D L' U B2 U' F2 R2 B2 L2 U' B2 D2
23;16.52;;L2 B R D' B' D2 L U R2 L2 B L2 U2 F2 B' U2 R2 D2 R2 L
24;14.97;;F2 U' F2 U' F' R B' D' R' U2 R' U2 L D2 B2 R' L2 D2 B2
25;17.94;;B F2 D2 R2 F2 D2 U B2 U B2 L2 R D2 U L' U' F
