No.;Time;Comment;Scramble
1;6.26;;U' R U R' F2 U F' R2 F2
2;5.95;;R2 F R2 F U F2 U' F' U'
3;7.70;;R' F2 U' F' U2 F U' R2 F'
4;6.41;;F U' R2 U R2 F' R U R
5;7.14;;R F' R F U' R2 U' F2 R U'
6;7.33;;F R F U2 R' F U F U2
7;8.76;;F' U' R F2 R U2 F' U2 F
8;2.00;;R F2 R2 F' U2 F R2 F2 R2
9;9.96;;U2 R' U' R U F R' U R2
10;4.54;;U2 R2 U F U2 R U R' U2
11;7.44;;R F U2 F U F2 U F U'
12;7.09;;R U' F' R U2 R F' R2 U2
13;5.98;;U' F2 U' R F2 R F U' R' U2
14;6.20;;R2 U2 F' R' F U' F R2 U
15;6.97;;U' F U2 F' R F U' F' R
16;5.30;;U2 F' R2 F' R U F2 U R2 U'
17;7.85;;F U R U' R U' F U2 R
18;6.83;;R2 F U F2 U R2 U F' R'
19;8.21;;U R F2 U2 F' U' F2 R2 U2
20;3.79;;U R' U' R U2 R' F2 U' R
