No.;Time;Comment;Scramble
1;7.36;;F' U R' F2 U F U2 F' R2
2;6.03;;U R2 U R2 U' R2 F U' R'
3;25.02;;U' F2 U' R2 F R' F R' U'
4;11.64;;F R' F R' F R2 F' R U'
5;6.55;;R2 U R F2 U R2 U F' U2
6;5.38;;U2 F2 U F R' U2 F U R2 U
7;3.61;;U' F2 U' R' F' R' F R2 U'
8;5.72;;R2 F' U' F R' F R U2 F2
9;5.14;;U R F' R F2 R' F U R2 U
10;4.53;;U2 R' F' U' F R F2 R2 U2
11;5.57;;R' F2 R2 U2 R' F' U2 F' U'
12;2.08;;U R2 U F R2 U2 F R2 U'
13;7.39;;F2 R2 U F' R F2 U' R U
14;9.62;;F U2 R' F R U F2 R' F
15;5.18;;R' U R U2 R F' U2 R U'
16;11.25;;U' F2 U' F' R2 U R' F2 R2
17;3.61;;R U2 F R' F R2 F' U2 R'
18;3.78;;U' R F R' F2 R' U2 R U'
19;8.48;;U R' F' R U' R' U2 R F'
20;7.58;;U' R' F' R' F2 U R' U F2
21;4.82;;F' R F' R U' F R' U2 R' U'
22;4.58;;U' R' F2 U F' R2 U2 F R'
23;4.78;;U F2 R2 F U R2 F' U2 F
24;5.78;;R2 F2 R U F' R2 U F' U2
25;5.72;;R U R' F R2 U' R' F2 R U'
26;7.85;;U F' R' F2 U2 R2 U' F' U2
27;3.75;;U' F R2 F' U' R F U' F
28;2.92;;U F' R F' U R U2 F2 U2
29;5.41;;F' U F' R' F2 R' F' R' U2
30;5.27;;R' F2 R2 F2 U' R F U' F2
31;4.77;;U F' R U2 F' U' R2 U2 R2
32;4.74;;U' F2 R U2 R U2 F' R F' U'
33;4.27;;F U2 F2 R U' F' U F2 R2
34;5.00;;U2 R2 U' F' U2 R F U R2 U'
35;5.20;;U' R U2 R2 F' R' U2 F R U'
36;4.86;;U' F' R F2 R F' U2 R' U2
37;4.54;;U F' U F2 R F2 R' U2 R2
38;6.09;;F' U' R' U F' R F2 R F' U'
39;8.45;;U F2 R U' F' U2 R F2 U2
40;5.77;;U R U F' U F2 U F2 R'
41;3.52;;U' F2 U R' F' R F2 U' R2
42;8.98;;R2 U' R' F R2 U2 R' U2 R' U'
43;5.95;;F R' U R U' F U' F U'
44;7.48;;F U' F R2 U F2 U2 F' U2
45;3.53;;F2 U2 F' R2 F2 R2 U2 F' U
46;6.49;;F2 R2 F' U' R F R' U' R2 U'
47;6.31;;R' F2 U2 R F U R2 U' R U'
48;4.69;;R2 U F R2 F R U' R' U'
49;5.16;;U F' R F2 R F R' U F U2
50;4.89;;F' R U2 R' U R2 F' R U'
51;4.93;;R' U R' F2 R' U F2 R F U'
52;5.79;;U2 F R U' R2 U' R2 U R'
53;5.68;;R F' U2 F U' F R' U' R2
54;7.05;;F2 U' R F' R F2 R F' U
55;3.02;;R2 U2 F R2 U R F2 U R2
56;5.16;;U' R2 U F2 R F R U2 F' U'
57;3.11;;F' R2 F2 U' R' U2 R U2 R'
58;7.61;;F R F R' F2 U2 R' U2 R U
59;4.23;;F2 R2 F' R2 U' F2 U2 F' U2
60;6.42;;U2 R' U F' U2 F R' F2 U
61;7.05;;U' F R' F2 U R' F' R' F'
62;5.19;;F U' F R F' U' R F' U
63;5.72;;U' R U' R F' R U2 R U'
64;5.43;;F' U F' R F U' F R' U'
65;5.66;;U' R2 U' F2 U2 R' U2 R' U2
66;5.18;;U R' F' U R U' R2 U' R2
67;7.37;;F R' F R2 U2 R2 U R2 U'
68;8.71;;R' F' R U2 R' U F' R' U'
69;7.66;;R' F2 U2 R2 U2 R2 U R2 U2
70;6.28;;F2 U' F U F' U' R2 F2 U2
71;7.53;;R U F' U F' U2 F R2 F2
72;6.23;;U2 F2 U' R F2 U2 R U2 R2
73;5.66;;R2 F U' F2 R U R F2 U
74;4.44;;U2 F U2 F2 R' U' F U R2
75;9.83;;F U' R F' R U' F' R U
76;15.55;;F' U' R2 F2 U F U' F R2 U2
77;8.18;;U' R U R U2 F' R' U R' U'
78;3.70;;U' R F U2 F U2 R' F' R'
79;6.48;;R' F R2 F U2 R F U2 R'
80;4.04;;R2 U' R U' F' U R F2 U2
81;7.49;;R2 U F R2 F U2 R' F2 R'
82;5.49;;F U F' R' F R2 F U2 F U2
83;2.84;;R U2 R' F' U R' U2 R F
84;4.39;;F2 U' F R2 U R' U R2 U
85;5.52;;U' R2 F U2 F' R2 F R2 F'
86;5.21;;F U2 F' U' F2 U2 F' R U'
87;6.44;;R' U2 F' U F R' F2 U2 F' U2
88;9.47;;F R U R2 F2 U2 R' F R2 U'
89;7.04;;U' R2 F R' U' R2 U2 F R' U'
90;4.63;;U' R U F' R U F' R2 U
91;5.69;;F' U' F2 U' F' U2 F2 R U'
92;6.30;;R F U2 R' F U' F U2 F'
93;5.01;;F R2 U' R U' F R2 F' U2
94;6.52;;F U2 R U' R2 F2 R' U' R2 U2
95;7.26;;R U F2 U' F2 U R2 U' R2
96;1.74;;U' F U R' F R U' R F2
97;6.62;;F U R' U2 R' F2 U' F U
98;7.43;;F R2 U2 R F' U' R U R'
99;4.32;;F' U F2 U' R U F2 R2 U'
