No.;Time;Comment;Scramble
1;6.81;;R' F U' R2 U' R U' R U2
2;5.08;;R U' R2 U' R' F' U R2 U'
3;9.20;;F U' R' F R2 F R' U2 F U2
4;6.06;;F U' R' F2 R' F' R U' R' U'
5;8.46;;U R' U F' R' U2 R2 F' U'
6;4.25;;R' U2 R' F R' F' R U2 F' U2
7;4.47;;F R' U' F U' F U2 F' U
8;7.22;;U F2 R2 U' R U' R F2 U
9;5.99;;U' F' U2 F2 U' R' F R' F'
10;6.71;;R F R' U2 F2 R U R2 U'
11;4.73;;U' R2 F2 U R' F' R F2 U'
12;3.40;;U2 R' F U2 R F U2 R' U'
13;7.92;;U2 R' U2 F U' R' F2 R U2
14;8.40;;U' F U F' U R' U2 F' U'
15;8.40;;U2 R2 F U' R F2 R F' R' U'
16;8.03;;F' U2 F' R2 U' F' U F2 U2
17;6.47;;F' R U2 R' F R2 U' F' R'
18;4.64;;F2 U F' R U R2 U F2 R2 U2
19;3.84;;U R U2 F2 U' R2 U' R' F2
20;4.50;;R F' U2 R U2 F' U2 F' U'
21;7.84;;R U F2 U2 R2 U' F U2 R' U'
22;14.16;;U' F2 U R U' R F' U R2
23;6.75;;R F' R2 F U2 R U2 R' U2 R'
24;7.32;;F' R F' R U F U2 F2 U2
25;8.23;;F' U2 R' U' R' F2 U F' R
