No.;Time;Comment;Scramble
1;2:50.17;;D Lw2 L Uw2 D' U' Fw F' Uw2 U B F2 L F2 B2 Bw2 Fw' L2 Rw' D2 Bw B2 F2 L2 Fw' Bw2 L Uw2 Rw2 L2 U Dw2 R2 U2 Bw Dw' B2 F D Fw U Rw2 U2 Dw' Bw R L' Fw Uw2 D' L D' Rw Lw2 U2 F' Uw Lw' R' F
2;2:52.13;;Dw' F2 U B2 Dw F Uw' B F' Rw2 U2 Lw2 Dw R2 F Dw2 D' R U2 Uw Bw' Dw' D2 Lw2 R' Uw2 Lw L F2 L2 Bw R Dw' B' Uw2 F2 Uw' U2 F R' D' B2 L Dw2 Rw L' B' U Rw' Fw' B' Uw2 U Fw' Lw' Bw2 U' F2 L' Dw2
3;4:07.52;;Bw F Fw D2 F' Dw2 B' Fw Bw F2 Uw Lw U2 F' L Lw Rw Fw' Lw' Bw2 Dw' B Fw2 L' D2 R2 U2 Uw' Dw L' Rw2 B Rw2 D Uw2 F' Lw' Bw' Lw D Lw' Bw Fw' F L' F' D' Uw2 R B D Uw2 Lw2 R' F' B2 Rw Uw R' Fw
4;3:04.23;;Fw F Bw2 B' Lw2 Uw2 Lw' Dw B' Bw Lw Bw' L Dw' B2 U' B L R F Rw D B' Uw' Rw Bw L Bw2 Dw' L' Lw2 U2 Uw2 Rw Uw Rw' R F' U Uw2 D2 Bw2 F' R2 D L B2 Uw2 Bw2 U2 Bw R B2 Dw F2 Dw2 D2 Lw Rw Uw
5;4:08.91;;Dw' D F U2 R B' Fw U' Lw2 Rw L2 Uw' Rw' Bw' B2 Dw' F' R2 Rw' U2 B2 Fw2 Lw Rw' D2 F2 Uw L2 Rw' Bw' F' L' U' R' Uw' Lw2 R Dw' F' L Dw F R2 Uw2 R' Bw Uw2 U' Dw2 Fw Rw' R2 D2 Uw Bw' L2 Rw' Dw F' B'
6;3:09.14;;Uw2 F Fw' Rw' Fw' Rw' Dw2 D B Dw2 R Lw' Fw Uw' F2 Rw Fw2 L R' Lw Dw' D2 U' R2 U' R' F2 Rw2 D2 Bw F2 Dw' D F' Dw' D2 Rw R2 Fw' Uw B Bw2 Uw' D' Dw2 F Bw2 Fw2 R' Lw Dw' Bw2 Dw' Uw F2 Fw2 Bw Dw' D' Bw2
7;3:18.19;;D Fw D2 F2 U B F2 Fw2 U R2 D' Dw2 B Uw Bw2 Fw L2 Rw2 Uw' Fw' R' Lw' Rw2 U2 F' R' Fw2 L' Lw2 Dw2 Bw2 Dw2 F U Lw2 Uw Fw L2 Bw2 D' B2 R2 B Uw Bw2 B' D2 Bw R' Rw2 Dw2 Fw' Lw2 L2 Uw Dw2 F Dw2 F' D2
8;2:50.46;;L D R2 L' Lw' Fw' Uw' Dw2 Lw' R2 Fw' D R Bw F Fw2 D' B Lw' L' R2 Rw Fw2 Dw Lw F2 Uw2 Fw Bw2 Uw R' Bw' Lw' B U Uw' Lw' L2 D2 Lw' F2 B2 R U Fw2 Dw2 L Rw' Fw2 L2 U D' F' R2 Fw' Bw' Uw Bw Dw B
9;2:50.79;;D Bw' D2 Uw R2 Rw L2 Uw F' Bw D' B2 Dw F' D Bw' Dw2 Lw' Rw' B2 U2 B' F' Dw Lw' Dw Fw' L2 Dw' L2 Uw' Lw2 R Bw U Rw2 Uw' Lw2 Dw Lw Bw2 D' Bw L' B' D Uw' Dw' L Fw2 Bw L' F' Fw Dw2 D' B Dw Bw2 R2
10;2:41.29;;U' L' Bw Lw2 R' D B2 Fw' D2 R L2 F' Lw2 L' Fw' L2 U2 Bw Dw' Uw2 Lw2 Bw2 Uw F B' Bw D2 Lw D2 Dw Lw D U R Dw' Uw Fw Dw' Uw2 Bw2 Uw Bw' U Bw2 Fw' Dw' Fw Lw2 D Uw2 R Uw2 Fw' Bw' L2 Bw' B D' Fw' L'
11;3:13.49;;Rw' L2 D2 Uw' Rw2 Bw Uw2 Rw Uw' Rw L' B2 D' Fw B2 Uw2 Dw2 F' Bw2 Lw2 Rw Uw F' U' Dw2 Rw' U L D' U Rw Fw B R Fw' Uw Lw D U2 L Dw2 R Bw' B' R2 F U' R' Bw2 Lw2 Dw' F2 Fw Dw' D' R Bw Dw Lw2 Dw
